gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,overall_avg
female,group b,bachelor's degree,standard,none,72.0,72.0,74.0,72.67
female,group c,some college,standard,completed,69.0,90.0,88.0,82.33
female,group b,master's degree,standard,none,90.0,95.0,93.0,92.67
male,group a,associate's degree,free/reduced,none,47.0,57.0,44.0,49.33
male,group c,some college,standard,none,76.0,78.0,75.0,76.33
female,group b,associate's degree,standard,none,71.0,83.0,78.0,77.33
female,group b,some college,standard,completed,88.0,95.0,92.0,91.67
male,group b,some college,free/reduced,none,40.0,43.0,39.0,40.67
male,group d,high school,free/reduced,completed,64.0,64.0,67.0,65.0
female,group b,high school,free/reduced,none,38.0,60.0,50.0,49.33
male,group c,associate's degree,standard,none,58.0,54.0,52.0,54.67
male,group d,associate's degree,standard,none,40.0,52.0,43.0,45.0
female,group b,high school,standard,none,65.0,81.0,73.0,73.0
male,group a,some college,standard,completed,78.0,72.0,70.0,73.33
female,group a,master's degree,standard,none,50.0,53.0,58.0,53.67
female,group c,some high school,standard,none,69.0,75.0,78.0,74.0
male,group c,high school,standard,none,88.0,89.0,86.0,87.67
female,group b,some high school,free/reduced,none,18.0,32.0,28.0,26.0
male,group c,master's degree,free/reduced,completed,46.0,42.0,46.0,44.67
female,group c,associate's degree,free/reduced,none,54.0,58.0,61.0,57.67
male,group d,high school,standard,none,66.0,69.0,63.0,66.0
female,group b,some college,free/reduced,completed,65.0,75.0,70.0,70.0
male,group d,some college,standard,none,44.0,54.0,53.0,50.33
female,group c,some high school,standard,none,69.0,73.0,73.0,71.67
male,group d,bachelor's degree,free/reduced,completed,74.0,71.0,80.0,75.0
male,group a,master's degree,free/reduced,none,73.0,74.0,72.0,73.0
male,group b,some college,standard,none,69.0,54.0,55.0,59.33
female,group c,bachelor's degree,standard,none,67.0,69.0,75.0,70.33
male,group c,high school,standard,none,70.0,70.0,65.0,68.33
female,group d,master's degree,standard,none,62.0,70.0,75.0,69.0
female,group d,some college,standard,none,69.0,74.0,74.0,72.33
female,group b,some college,standard,none,63.0,65.0,61.0,63.0
female,group e,master's degree,free/reduced,none,56.0,72.0,65.0,64.33
male,group d,some college,standard,none,40.0,42.0,38.0,40.0
male,group e,some college,standard,none,97.0,87.0,82.0,88.67
male,group e,associate's degree,standard,completed,81.0,81.0,79.0,80.33
female,group d,associate's degree,standard,none,74.0,81.0,83.0,79.33
female,group d,some high school,free/reduced,none,50.0,64.0,59.0,57.67
female,group d,associate's degree,free/reduced,completed,75.0,90.0,88.0,84.33
male,group b,associate's degree,free/reduced,none,57.0,56.0,57.0,56.67
male,group c,associate's degree,free/reduced,none,55.0,61.0,54.0,56.67
female,group c,associate's degree,standard,none,58.0,73.0,68.0,66.33
female,group b,associate's degree,standard,none,53.0,58.0,65.0,58.67
male,group b,some college,free/reduced,completed,59.0,65.0,66.0,63.33
female,group e,associate's degree,free/reduced,none,50.0,56.0,54.0,53.33
male,group b,associate's degree,standard,none,65.0,54.0,57.0,58.67
female,group a,associate's degree,standard,completed,55.0,65.0,62.0,60.67
female,group c,high school,standard,none,66.0,71.0,76.0,71.0
female,group d,associate's degree,free/reduced,completed,57.0,74.0,76.0,69.0
male,group c,high school,standard,completed,82.0,84.0,82.0,82.67
male,group e,some college,standard,none,53.0,55.0,48.0,52.0
male,group e,associate's degree,free/reduced,completed,77.0,69.0,68.0,71.33
male,group c,some college,standard,none,53.0,44.0,42.0,46.33
male,group d,high school,standard,none,88.0,78.0,75.0,80.33
female,group c,some high school,free/reduced,completed,71.0,84.0,87.0,80.67
female,group c,high school,free/reduced,none,33.0,41.0,43.0,39.0
female,group e,associate's degree,standard,completed,82.0,85.0,86.0,84.33
male,group d,associate's degree,standard,none,52.0,55.0,49.0,52.0
male,group d,some college,standard,completed,58.0,59.0,58.0,58.33
female,group c,some high school,free/reduced,none,0.0,17.0,10.0,9.0
male,group e,bachelor's degree,free/reduced,completed,79.0,74.0,72.0,75.0
male,group a,some high school,free/reduced,none,39.0,39.0,34.0,37.33
male,group a,associate's degree,free/reduced,none,62.0,61.0,55.0,59.33
female,group c,associate's degree,standard,none,69.0,80.0,71.0,73.33
female,group d,some high school,standard,none,59.0,58.0,59.0,58.67
male,group b,some high school,standard,none,67.0,64.0,61.0,64.0
male,group d,some high school,free/reduced,none,45.0,37.0,37.0,39.67
female,group c,some college,standard,none,60.0,72.0,74.0,68.67
male,group b,associate's degree,free/reduced,none,61.0,58.0,56.0,58.33
female,group c,associate's degree,standard,none,39.0,64.0,57.0,53.33
female,group d,some college,free/reduced,completed,58.0,63.0,73.0,64.67
male,group d,some college,standard,completed,63.0,55.0,63.0,60.33
female,group a,associate's degree,free/reduced,none,41.0,51.0,48.0,46.67
male,group c,some high school,free/reduced,none,61.0,57.0,56.0,58.0
male,group c,some high school,standard,none,49.0,49.0,41.0,46.33
male,group b,associate's degree,free/reduced,none,44.0,41.0,38.0,41.0
male,group e,some high school,standard,none,30.0,26.0,22.0,26.0
male,group a,bachelor's degree,standard,completed,80.0,78.0,81.0,79.67
female,group d,some high school,standard,completed,61.0,74.0,72.0,69.0
female,group e,master's degree,standard,none,62.0,68.0,68.0,66.0
female,group b,associate's degree,standard,none,47.0,49.0,50.0,48.67
male,group b,high school,free/reduced,none,49.0,45.0,45.0,46.33
male,group a,some college,free/reduced,completed,50.0,47.0,54.0,50.33
male,group e,associate's degree,standard,none,72.0,64.0,63.0,66.33
male,group d,high school,free/reduced,none,42.0,39.0,34.0,38.33
female,group c,some college,standard,none,73.0,80.0,82.0,78.33
female,group c,some college,free/reduced,none,76.0,83.0,88.0,82.33
female,group d,associate's degree,standard,none,71.0,71.0,74.0,72.0
female,group a,some college,standard,none,58.0,70.0,67.0,65.0
female,group d,some high school,standard,none,73.0,86.0,82.0,80.33
female,group c,bachelor's degree,standard,none,65.0,72.0,74.0,70.33
male,group c,high school,free/reduced,none,27.0,34.0,36.0,32.33
male,group c,high school,standard,none,71.0,79.0,71.0,73.67
male,group c,associate's degree,free/reduced,completed,43.0,45.0,50.0,46.0
female,group b,some college,standard,none,79.0,86.0,92.0,85.67
male,group c,associate's degree,free/reduced,completed,78.0,81.0,82.0,80.33
male,group b,some high school,standard,completed,65.0,66.0,62.0,64.33
female,group e,some college,standard,completed,63.0,72.0,70.0,68.33
female,group d,some college,free/reduced,none,58.0,67.0,62.0,62.33
female,group d,bachelor's degree,standard,none,65.0,67.0,62.0,64.67
male,group b,some college,standard,none,79.0,67.0,67.0,71.0
male,group d,bachelor's degree,standard,completed,68.0,74.0,74.0,72.0
female,group d,associate's degree,standard,none,85.0,91.0,89.0,88.33
male,group b,high school,standard,completed,60.0,44.0,47.0,50.33
male,group c,some college,standard,completed,98.0,86.0,90.0,91.33
female,group c,some college,standard,none,58.0,67.0,72.0,65.67
female,group d,master's degree,standard,none,87.0,100.0,100.0,95.67
male,group e,associate's degree,standard,completed,66.0,63.0,64.0,64.33
female,group b,associate's degree,free/reduced,none,52.0,76.0,70.0,66.0
female,group b,some high school,standard,none,70.0,64.0,72.0,68.67
female,group d,associate's degree,free/reduced,completed,77.0,89.0,98.0,88.0
male,group c,high school,standard,none,62.0,55.0,49.0,55.33
male,group a,associate's degree,standard,none,54.0,53.0,47.0,51.33
female,group d,some college,standard,none,51.0,58.0,54.0,54.33
female,group e,bachelor's degree,standard,completed,99.0,100.0,100.0,99.67
male,group c,high school,standard,none,84.0,77.0,74.0,78.33
female,group b,bachelor's degree,free/reduced,none,75.0,85.0,82.0,80.67
female,group d,bachelor's degree,standard,none,78.0,82.0,79.0,79.67
female,group d,some high school,standard,none,51.0,63.0,61.0,58.33
female,group c,some college,standard,none,55.0,69.0,65.0,63.0
female,group c,bachelor's degree,standard,completed,79.0,92.0,89.0,86.67
male,group b,associate's degree,standard,completed,91.0,89.0,92.0,90.67
female,group c,some college,standard,completed,88.0,93.0,93.0,91.33
male,group d,high school,free/reduced,none,63.0,57.0,56.0,58.67
male,group e,some college,standard,none,83.0,80.0,73.0,78.67
female,group b,high school,standard,none,87.0,95.0,86.0,89.33
male,group b,some high school,standard,none,72.0,68.0,67.0,69.0
male,group d,some college,standard,completed,65.0,77.0,74.0,72.0
male,group d,master's degree,standard,none,82.0,82.0,74.0,79.33
female,group a,bachelor's degree,standard,none,51.0,49.0,51.0,50.33
male,group d,master's degree,standard,none,89.0,84.0,82.0,85.0
male,group c,some high school,free/reduced,completed,53.0,37.0,40.0,43.33
male,group e,some college,free/reduced,completed,87.0,74.0,70.0,77.0
female,group c,some college,standard,completed,75.0,81.0,84.0,80.0
male,group d,bachelor's degree,free/reduced,completed,74.0,79.0,75.0,76.0
male,group c,bachelor's degree,standard,none,58.0,55.0,48.0,53.67
male,group b,some high school,standard,completed,51.0,54.0,41.0,48.67
male,group e,high school,standard,none,70.0,55.0,56.0,60.33
female,group c,associate's degree,standard,none,59.0,66.0,67.0,64.0
male,group d,some college,standard,completed,71.0,61.0,69.0,67.0
female,group d,some high school,standard,none,76.0,72.0,71.0,73.0
female,group c,some college,free/reduced,none,59.0,62.0,64.0,61.67
female,group e,some college,free/reduced,completed,42.0,55.0,54.0,50.33
male,group a,high school,standard,none,57.0,43.0,47.0,49.0
male,group d,some college,standard,none,88.0,73.0,78.0,79.67
female,group c,some college,free/reduced,none,22.0,39.0,33.0,31.33
male,group b,some high school,standard,none,88.0,84.0,75.0,82.33
male,group c,associate's degree,free/reduced,none,73.0,68.0,66.0,69.0
